explored_users,skipped_users 
school_pushkino, 
kloogame, 
fiedconsulting, 
marina_dufour, 
frenchspanishmb, 
paulinestirlin3, 
gmdiversity, 
teachingesljobs, 
ontspecialneeds, 
willsjamsmusic, 
durhamdsb, 
second_language, 
languageagogo, 
bilinguasing, 
cpfontario, 
al_nw_music, 
opsba, 
scdsb_schools, 
citimmcanada, 
mme_dibenz, 
nobleknits2, 
crfmmfrcmtl, 
communicaidlang, 
frenchstreetca, 
cpfnational, 
oct_oeeo, 
oneducation, 
hoccommittees, 
langcanada_ca, 
our_languages, 
uottawaedu, 
algonquincolleg, 
bilingualguides, 
mapucebilingual, 
haltondsb, 
idellotfo, 
onparleducation, 
cpfhamilton, 
uottawa, 
yorkueducation, 
omlta, 
tdsb_fsl, 
tdsbvs, 
Natasha_Faroogh, 
scholasticCDA, 
OEEO_OCT, 
OCT_OEEO, 
sarnott_uottawa, 
EducLang, 
mimi_masson, 
 ,MonsieurSteve1