Id,Label
1,school_pushkino
2,kloogame
3,fiedconsulting
4,marina_dufour
5,frenchspanishmb
6,paulinestirlin3
7,gmdiversity
8,teachingesljobs
9,ontspecialneeds
10,willsjamsmusic
11,durhamdsb
12,second_language
13,languageagogo
14,bilinguasing
15,cpfontario
16,al_nw_music
17,opsba
18,scdsb_schools
19,citimmcanada
20,mme_dibenz
21,nobleknits2
22,crfmmfrcmtl
23,communicaidlang
24,frenchstreetca
25,cpfnational
26,oct_oeeo
27,oneducation
28,hoccommittees
29,langcanada_ca
30,our_languages
31,uottawaedu
32,algonquincolleg
33,bilingualguides
34,mapucebilingual
35,haltondsb
36,idellotfo
37,onparleducation
38,cpfhamilton
39,uottawa
40,yorkueducation
41,omlta